fold,mode,Epoch = 30,Loss,Acc,Note
fold,mode,Epoch = 30,Loss,Acc,Note
fold,mode,Epoch = 30,Loss,Acc,Note
0,train,001,1.00317,0.67509,
0,val,001,0.73176,0.77493,best
0,train,002,0.64278,0.78786,
0,val,002,0.59589,0.81800,best
0,train,003,0.53558,0.82675,
0,val,003,0.55610,0.82139,best
0,train,004,0.44846,0.85616,
0,val,004,0.61236,0.80886,
0,train,005,0.38802,0.87759,
0,val,005,0.69930,0.79134,
0,train,006,0.35226,0.88679,
0,val,006,0.72729,0.79923,
0,train,007,0.31503,0.89901,
0,val,007,0.56660,0.83106,best
0,train,008,0.27972,0.90672,
0,val,008,0.65396,0.82383,
0,train,009,0.25971,0.91296,
0,val,009,0.62793,0.83317,best
0,train,010,0.24386,0.92113,
0,val,010,0.54134,0.85123,best
0,train,011,0.21615,0.93039,
0,val,011,0.61723,0.82498,
0,train,012,0.20456,0.93541,
0,val,012,0.64574,0.82073,
0,train,013,0.20496,0.93164,
0,val,013,0.60382,0.82887,
fold,mode,Epoch = 30,Loss,Acc,Note
0,train,001,2.17168,0.21816,
0,val,001,2.93175,0.20953,best
0,train,002,1.93029,0.31914,
0,val,002,1.90977,0.33309,best
0,train,003,1.82238,0.36405,
0,val,003,1.84002,0.36954,best
0,train,004,1.73174,0.39895,
0,val,004,1.69038,0.41109,best
0,train,005,1.65078,0.42924,
0,val,005,1.62833,0.43605,best
0,train,006,1.56337,0.45824,
0,val,006,1.54874,0.47135,best
0,train,007,1.49090,0.48696,
0,val,007,1.46378,0.48231,best
0,train,008,1.42641,0.50633,
0,val,008,1.65354,0.44296,
0,train,009,1.36757,0.52972,
0,val,009,1.61010,0.46102,
0,train,010,1.31247,0.55283,
0,val,010,1.35765,0.53080,best
0,train,011,1.24405,0.56889,
0,val,011,1.38130,0.53873,best
0,train,012,1.17214,0.59737,
0,val,012,1.45333,0.53840,
0,train,013,1.14124,0.59952,
0,val,013,1.49032,0.56329,best
0,train,014,1.07849,0.62793,
0,val,014,1.76860,0.48289,
0,train,015,1.04036,0.64265,
0,val,015,1.57528,0.52087,
0,train,016,0.99576,0.65928,
0,val,016,1.19048,0.61128,best
0,train,017,0.94969,0.67431,
0,val,017,1.61293,0.51472,
0,train,018,0.91501,0.68784,
0,val,018,1.85158,0.48669,
0,train,019,0.87629,0.69352,
0,val,019,2.16110,0.42770,
0,train,020,0.82792,0.71351,
0,val,020,1.28017,0.60570,
0,train,021,0.81745,0.71728,
0,val,021,1.71972,0.52141,
0,train,022,0.76167,0.73478,
0,val,022,1.20116,0.62905,best
0,train,023,0.71437,0.75415,
0,val,023,1.21671,0.61698,
0,train,024,0.67655,0.76706,
0,val,024,1.44460,0.57924,
0,train,025,0.63934,0.78390,
0,val,025,1.64659,0.54716,
0,train,026,0.61012,0.79385,
0,val,026,1.51391,0.59466,
0,train,027,0.58023,0.80417,
0,val,027,1.59558,0.56283,
0,train,028,0.54585,0.81659,
0,val,028,1.42274,0.60896,
0,train,029,0.51163,0.82516,
0,val,029,1.55528,0.58019,
0,train,030,0.49090,0.83389,
0,val,030,1.54968,0.59730,
1,train,001,2.20196,0.21798,
1,val,001,2.20001,0.26102,best
1,train,002,1.96417,0.30647,
1,val,002,1.91870,0.32346,best
1,train,003,1.82633,0.35578,
1,val,003,2.02599,0.32693,best
1,train,004,1.75204,0.38368,
1,val,004,1.72798,0.40002,best
1,train,005,1.65492,0.42801,
1,val,005,2.45183,0.26815,
1,train,006,1.59573,0.44673,
1,val,006,1.87778,0.35670,
1,train,007,1.51818,0.47003,
1,val,007,1.68363,0.43772,best
1,train,008,1.43732,0.50081,
1,val,008,1.64110,0.46990,best
1,train,009,1.35634,0.53870,
1,val,009,1.67013,0.44833,
1,train,010,1.29908,0.55234,
1,val,010,1.49538,0.49600,best
1,train,011,1.25545,0.56742,
1,val,011,1.47244,0.50121,best
1,train,012,1.17570,0.59921,
1,val,012,1.30980,0.56316,best
1,train,013,1.13106,0.61241,
1,val,013,1.99687,0.46432,
1,train,014,1.06715,0.62457,
1,val,014,1.61682,0.46401,
1,train,015,1.05128,0.64188,
1,val,015,1.58065,0.47970,
1,train,016,0.97471,0.67032,
1,val,016,1.50492,0.52867,
1,train,017,0.94731,0.67146,
1,val,017,1.59520,0.53122,
1,train,018,0.91486,0.68754,
