fold,mode,Epoch = 50,Loss,Acc,Note
0,train,001,308.35189,-65.07764,
0,val,001,1038.36377,-150.96616,
0,train,002,9.89670,-0.94569,
0,val,002,386.43762,-55.55781,
0,train,003,12.58017,-1.32738,
0,val,003,23.13419,-2.38572,best
0,train,004,11.94956,-1.55748,
0,val,004,7.58961,-0.11078,best
0,train,005,8.59125,-0.82723,
0,val,005,7.44138,-0.08910,best
0,train,006,5.68882,-0.17719,
0,val,006,7.80141,-0.14179,
0,train,007,7.22336,-0.53104,
0,val,007,10.94570,-0.60198,
0,train,008,7.01383,-0.52736,
0,val,008,21.40860,-2.13330,
0,train,009,5.59367,-0.15252,
0,val,009,8.70388,-0.27387,
fold,mode,Epoch = 50,Loss,Acc,Note
0,train,001,312.79413,-65.80401,
0,val,001,1044.09009,-151.80420,
0,train,002,8.85882,-0.77604,
0,val,002,364.61511,-52.36393,
0,train,003,8.28774,-0.57371,
0,val,003,97.54507,-13.27587,
0,train,004,8.53317,-0.87554,
0,val,004,63.42274,-8.28224,best
0,train,005,8.57036,-0.74484,
0,val,005,34.04507,-3.98273,best
0,train,006,13.14281,-1.62011,
0,val,006,7.13941,-0.04490,best
0,train,007,8.33130,-0.71840,
0,val,007,14.99884,-1.19518,
0,train,008,8.28912,-0.70384,
0,val,008,26.26729,-2.84440,
0,train,009,9.91455,-0.99195,
0,val,009,18.85562,-1.75965,
0,train,010,5.86392,-0.19177,
0,val,010,6.92205,-0.01308,best
0,train,011,10.48039,-1.12276,
0,val,011,16.20285,-1.37137,
0,train,012,9.23871,-0.93889,
0,val,012,10.17834,-0.48967,
0,train,013,5.97840,-0.19075,
0,val,013,7.03249,-0.02924,
0,train,014,5.51689,-0.13014,
0,val,014,9.73490,-0.42475,
0,train,015,6.30050,-0.31150,
0,val,015,8.71826,-0.27598,
fold,mode,Epoch = 50,Loss,Acc,Note
0,train,001,1274.50614,-262.66409,
0,val,001,1325.78235,-193.03030,
0,train,002,1117.33384,-233.63799,
0,val,002,1296.13257,-188.69794,
0,train,003,893.91377,-186.95370,
0,val,003,1213.11914,-176.54187,
0,train,004,638.77078,-140.78766,
0,val,004,1039.92615,-151.19852,
0,train,005,368.30341,-79.95021,
0,val,005,760.62317,-110.32244,
